offer_id,package_name,family_name,quota_gb,duration_days,price_rp,original_price_rp,vas_included,api_source,price_per_gb
6281513000000-HP_MYIM3_IF_ALL_MLP_7GB_28D_36K-1782287716287,Internet 7GB +Extra Google Gemini,Internet,7.0,28 Hari,36000,40000,,offer/getlist,5142.86
6281513000000-HP_MYIM3_IF_ALL_SLP_12GB_14D_30K-1782287716287,Internet 12GB,Internet,12.0,14 Hari,30000,30000,,offer/getlist,2500.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_24GB_28D_60K-1782287716287,Internet 24GB +Extra Google Gemini,Internet,24.0,28 Hari,60000,109000, + Akses VIU + 20menit ke semua operator,offer/getlist,2500.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_31GB_28D_70K-1782287716287,Internet 31GB +Extra Google Gemini,Internet,31.0,28 Hari,70000,139000, + 30menit ke semua operator,offer/getlist,2258.06
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_40GB_28D_80K-1782287716287,Internet 40GB +Extra Google Gemini,Internet,40.0,28 Hari,80000,169000, + 30menit ke semua operator,offer/getlist,2000.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_66GB_30D_100K-1782287716287,Internet 66GB +Extra Google Gemini,Internet,66.0,30 Hari,100000,219000, + VIU / Vidio Ultimate / WeTV VIP + 50menit ke semua operator,offer/getlist,1515.15
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_100GB_28D_125K-1782287716287,Internet 100GB +Extra Google Gemini,Internet,100.0,28 Hari,125000,329000, + VIU / Vidio Platinum / WeTV VIP + 50menit ke semua operator,offer/getlist,1250.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_150GB_28D_150K-1782287716287,Internet 150GB +Extra Google Gemini,Internet,150.0,28 Hari,150000,399000, + VIU / Vidio Ultimate / WeTV VIP + 70menit ke semua operator,offer/getlist,1000.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_50GB_90D_200K-1782287716287,Internet 50GB +Extra Google Gemini,Internet,50.0,90 Hari,200000,229000, + 70menit ke semua operator,offer/getlist,4000.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_5GB_2D_10K-1782287716287,Internet 5GB,Internet,5.0,2 Hari,10000,10000,,offer/getlist,2000.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_6GB_5D_20K-1782287716287,Internet 6GB,Internet,6.0,5 Hari,20000,20000,,offer/getlist,3333.33
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_10GB_7D_25K-1782287716287,Internet 10GB,Internet,10.0,7 Hari,25000,25000,,offer/getlist,2500.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_15GB_10D_30K-1782287716287,Internet 15GB,Internet,15.0,10 Hari,30000,30000,,offer/getlist,2000.0
6281513000000-HP_MYIM3_RF_ALL_MD_50K_59K_25GB_14D_50K-1782287716287,Internet 25GB,Internet,25.0,14 Hari,50000,50000,,offer/getlist,2000.0
6281513000000-HP_MYIM3_IF_ALL_VAS_12GB_30D_20K-1782287716287,Freedom Apps FUN 12GB,Freedom Apps FUN,12.0,30 Hari,20000,20000,,offer/getlist,1666.67
6281513000000-HP_MYIM3_IF_PRE_T216_V_UNL_30D_5K_REV2_OFFER1-1782287716287,Nelpon 30 Hari,Call,0.0,30 Hari,5000,5000,,offer/getlist,500000.0
5GFI125GB30DOR_1_LTS,Freedom 5G 125GB,Freedom 5G 125GB,0.0,30 Hari,160000,160000,Bebas Akses iQIYI/Viu/WeTV/Vidio EPL,packages/packagelist,16000000.0
