date,App/System,General/Other,Network/QoS,"Network/QoS, App/System",Pricing/Billing,"Pricing/Billing, App/System","Pricing/Billing, Network/QoS","Pricing/Billing, Network/QoS, App/System",total_complaints,TFI_Score,TFI_MA_7D
2026-04-20,1.0,19.0,7.0,4.0,6.0,1.0,7.0,4.0,49.0,11.02,11.02
2026-04-21,2.0,67.0,32.0,5.0,17.0,3.0,19.0,8.0,153.0,13.07,12.04
2026-04-22,5.0,32.0,32.0,4.0,16.0,2.0,22.0,7.0,120.0,16.83,13.64
2026-04-23,4.0,41.0,27.0,9.0,16.0,4.0,15.0,9.0,125.0,14.4,13.83
2026-04-24,4.0,31.0,34.0,9.0,11.0,4.0,23.0,5.0,121.0,15.54,14.17
2026-04-25,2.0,25.0,25.0,6.0,12.0,3.0,23.0,6.0,102.0,14.9,14.29
2026-04-26,3.0,26.0,24.0,11.0,18.0,2.0,27.0,13.0,124.0,14.03,14.26
2026-04-27,8.0,20.0,28.0,9.0,10.0,5.0,9.0,7.0,96.0,17.5,15.18
2026-04-28,2.0,13.0,22.0,3.0,13.0,4.0,16.0,10.0,83.0,17.35,15.79
2026-04-29,4.0,19.0,20.0,6.0,15.0,7.0,21.0,9.0,101.0,14.65,15.48
2026-04-30,4.0,25.0,28.0,9.0,11.0,2.0,11.0,9.0,99.0,16.57,15.79
2026-05-01,5.0,24.0,21.0,5.0,8.0,5.0,14.0,9.0,91.0,13.85,15.55
2026-05-02,3.0,20.0,17.0,4.0,12.0,1.0,6.0,8.0,71.0,17.18,15.88
2026-05-03,4.0,31.0,16.0,9.0,16.0,1.0,11.0,7.0,95.0,14.32,15.92
2026-05-04,4.0,24.0,19.0,6.0,9.0,6.0,6.0,13.0,87.0,13.79,15.39
2026-05-05,0.0,27.0,13.0,7.0,13.0,3.0,15.0,5.0,83.0,12.53,14.7
2026-05-06,4.0,47.0,20.0,5.0,20.0,4.0,9.0,9.0,118.0,14.24,14.64
2026-05-07,3.0,84.0,33.0,7.0,27.0,1.0,17.0,6.0,178.0,13.82,14.25
2026-05-08,4.0,83.0,33.0,10.0,12.0,3.0,17.0,7.0,169.0,11.12,13.86
2026-05-09,8.0,98.0,25.0,5.0,30.0,3.0,12.0,9.0,190.0,12.42,13.18
2026-05-10,5.0,93.0,25.0,4.0,28.0,3.0,26.0,10.0,194.0,11.44,12.77
2026-05-11,2.0,106.0,30.0,13.0,15.0,2.0,16.0,7.0,191.0,9.63,12.17
2026-05-12,5.0,87.0,27.0,3.0,22.0,6.0,20.0,12.0,182.0,11.32,12.0
