date,reviewCreatedVersion,total_complaints,app_complaints,TFI,TFI_MA_7D
2026-04-21,9.1.0,102,17.0,16.666666666666664,16.666666666666664
2026-04-23,9.1.0,88,18.0,20.454545454545457,18.560606060606062
2026-04-24,9.1.0,100,17.0,17.0,18.04040404040404
2026-04-25,9.1.0,60,15.0,25.0,19.78030303030303
2026-04-26,9.1.0,91,13.0,14.285714285714285,18.681385281385282
2026-04-27,9.1.0,48,6.0,12.5,17.6511544011544
2026-04-21,9.2.0,256,63.0,24.609375,24.609375
2026-04-22,9.2.0,162,43.0,26.543209876543212,25.576292438271608
2026-04-23,9.2.0,185,35.0,18.91891891891892,23.35716793182071
2026-04-24,9.2.0,207,55.0,26.570048309178745,24.16038802616022
2026-04-25,9.2.0,155,41.0,26.451612903225808,24.618633001573336
2026-04-26,9.2.0,208,56.0,26.923076923076923,25.0027069884906
2026-04-27,9.2.0,160,40.0,25.0,25.002320275849087
2026-04-28,9.2.0,137,37.0,27.00729927007299,25.344880885859514
2026-04-29,9.2.0,105,24.0,22.857142857142858,24.818299883088034
2026-04-30,9.2.0,129,36.0,27.906976744186046,26.10230814384048
2026-05-01,9.2.0,119,28.0,23.52941176470588,25.66793149463007
2026-05-02,9.2.0,105,25.0,23.809523809523807,25.290490195529788
2026-05-03,9.2.0,121,24.0,19.834710743801654,24.277866455633323
2026-05-04,9.2.0,110,20.0,18.181818181818183,23.303840481607345
2026-05-05,9.2.0,128,37.0,28.90625,23.575119157311203
2026-05-06,9.2.0,174,26.0,14.942528735632186,22.444459997095397
2026-05-07,9.2.0,216,29.0,13.425925925925927,20.375738451629665
2026-05-08,9.2.0,210,33.0,15.714285714285714,19.259291872998208
2026-05-09,9.2.0,179,32.0,17.877094972067038,18.411802039075813
2026-05-10,9.2.0,194,30.0,15.463917525773196,17.78740300792889
2026-05-11,9.2.0,180,24.0,13.333333333333334,17.0947623152882
2026-05-12,9.2.0,185,15.0,8.108108108108109,14.123599187875072
2026-05-13,9.2.0,240,55.0,22.916666666666664,15.262761749451426
2026-05-14,9.2.0,216,43.0,19.90740740740741,16.188687675377352
2026-05-15,9.2.0,213,33.0,15.492957746478872,16.157069394262088
2026-05-16,9.2.0,245,43.0,17.551020408163264,16.110487313704404
2026-05-17,9.2.0,311,52.0,16.720257234726688,16.289964414983476
2026-05-18,9.2.0,236,46.0,19.491525423728813,17.16970614218283
2026-05-19,9.2.0,221,40.0,18.099547511312217,18.597054628354844
2026-05-20,9.2.0,220,44.0,20.0,18.18038796168818
2026-05-21,9.2.0,229,43.0,18.777292576419214,18.018942985832727
2026-05-22,9.2.0,192,21.0,10.9375,17.368163307764313
2026-05-23,9.2.0,168,29.0,17.261904761904763,17.326861072584528
2026-05-24,9.2.0,152,29.0,19.078947368421055,17.663816805969436
2026-05-25,9.2.0,159,23.0,14.465408805031446,16.945800146155527
2026-05-26,9.2.0,88,14.0,15.909090909090908,16.632877774409625
2026-05-27,9.2.0,80,13.0,16.25,16.09716348869534
